Iteration;Period;Output;Value;Type
"1";"1";OSUPREC;226.72070;Total
"1";"1";OVOLREC;40558.91860;Total
"1";"1";OSUPPL;201.64000;Total
"1";"1";VOLINVENT;268806.00837;Total
"6";"1";OSUPREC;226.72070;Total
"6";"1";OVOLREC;40558.91860;Total
"6";"1";OSUPPL;201.64000;Total
"6";"1";VOLINVENT;268806.00837;Total
"1";"2";OSUPREC;202.23607;Total
"1";"2";OVOLREC;40435.29237;Total
"1";"2";OSUPPL;201.64000;Total
"1";"2";VOLINVENT;250001.32367;Total
"6";"2";OSUPREC;202.23607;Total
"6";"2";OVOLREC;40435.29237;Total
"6";"2";OSUPPL;201.64000;Total
"6";"2";VOLINVENT;250001.32367;Total
"1";"3";OSUPREC;281.23013;Total
"1";"3";OVOLREC;40327.12551;Total
"1";"3";OSUPPL;201.64000;Total
"1";"3";VOLINVENT;234117.10716;Total
"6";"3";OSUPREC;281.23013;Total
"6";"3";OVOLREC;40327.12551;Total
"6";"3";OSUPPL;201.64000;Total
"6";"3";VOLINVENT;234117.10716;Total
"1";"4";OSUPREC;275.75079;Total
"1";"4";OVOLREC;40027.15716;Total
"1";"4";OSUPPL;201.64000;Total
"1";"4";VOLINVENT;216854.28687;Total
"6";"4";OSUPREC;275.75079;Total
"6";"4";OVOLREC;40027.15716;Total
"6";"4";OSUPPL;201.64000;Total
"6";"4";VOLINVENT;216854.28687;Total
"1";"5";OSUPREC;203.23269;Total
"1";"5";OVOLREC;39654.26540;Total
"1";"5";OSUPPL;201.64000;Total
"1";"5";VOLINVENT;201190.12525;Total
"6";"5";OSUPREC;203.23269;Total
"6";"5";OVOLREC;39654.26540;Total
"6";"5";OSUPPL;201.64000;Total
"6";"5";VOLINVENT;201190.12525;Total
"1";"6";OSUPREC;301.13604;Total
"1";"6";OVOLREC;39043.44470;Total
"1";"6";OSUPPL;0.00000;Total
"1";"6";VOLINVENT;186880.93775;Total
"6";"6";OSUPREC;301.13604;Total
"6";"6";OVOLREC;39043.44470;Total
"6";"6";OSUPPL;0.00000;Total
"6";"6";VOLINVENT;186880.93775;Total
"1";"7";OSUPREC;302.54423;Total
"1";"7";OVOLREC;38528.56941;Total
"1";"7";OSUPPL;100.90423;Total
"1";"7";VOLINVENT;176713.21704;Total
"6";"7";OSUPREC;302.54423;Total
"6";"7";OVOLREC;38528.56941;Total
"6";"7";OSUPPL;100.90423;Total
"6";"7";VOLINVENT;176713.21704;Total
"1";"8";OSUPREC;316.67505;Total
"1";"8";OVOLREC;38316.06621;Total
"1";"8";OSUPPL;100.73577;Total
"1";"8";VOLINVENT;169731.57878;Total
"6";"8";OSUPREC;316.67505;Total
"6";"8";OVOLREC;38316.06621;Total
"6";"8";OSUPPL;100.73577;Total
