juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,5,105,PICE,GLA,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,5,200,PINU,SPP,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,5,203,PINU,BAN,,-1.7197890000,-0.0016430000,-0.0720663000,-1.8739030000,-0.0004804000,-0.0897304000,-1.5253050000,-0.0017311000,-0.2262610000,30
AB,5,204,PINU,CON,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,5,204,PINU,CON,LAT,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,5,216,PINU,MUR,,-1.7635280000,-0.0001099000,-0.0867745000,-1.9543920000,-0.0006137000,-0.0184525000,-1.9882320000,-0.0015723000,-0.0518998000,759
AB,5,300,ABIE,SPP,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,5,302,ABIE,BAL,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,5,500,PSEU,MEN,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,5,500,PSEU,MEN,MEN,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,5,500,PSEU,MEN,GLA,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,5,500,PSEU,SPP,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,5,600,LARI,SPP,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,5,601,LARI,DEC,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,5,602,LARI,LAR,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,5,1200,POPU,SPP,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,5,1201,POPU,TRE,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,5,1203,POPU,BAL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1203,POPU,BAL,BAL,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1204,POPU,TRI,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1205,POPU,DEL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1205,POPU,DEL,DEL,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1214,POPU,AGU,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,5,1303,BETU,PAP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,5,1303,BETU,PAP,PAP,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,6,100,PICE,SPP,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,6,101,PICE,MAR,,-1.3958370000,-0.0006433000,-0.0796023000,-1.2560140000,-0.0009974000,-0.0741330000,-0.8679180000,-0.0026773000,-0.1059732000,81
AB,6,105,PICE,GLA,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,6,200,PINU,SPP,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,6,203,PINU,BAN,,-1.7197890000,-0.0016430000,-0.0720663000,-1.8739030000,-0.0004804000,-0.0897304000,-1.5253050000,-0.0017311000,-0.2262610000,30
AB,6,204,PINU,CON,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,6,204,PINU,CON,LAT,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,6,216,PINU,MUR,,-1.7635280000,-0.0001099000,-0.0867745000,-1.9543920000,-0.0006137000,-0.0184525000,-1.9882320000,-0.0015723000,-0.0518998000,759
AB,6,300,ABIE,SPP,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,6,302,ABIE,BAL,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,6,500,PSEU,MEN,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,6,500,PSEU,MEN,MEN,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,6,500,PSEU,MEN,GLA,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,6,500,PSEU,SPP,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,6,600,LARI,SPP,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,6,601,LARI,DEC,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,6,602,LARI,LAR,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,6,1200,POPU,SPP,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,6,1201,POPU,TRE,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,6,1203,POPU,BAL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1203,POPU,BAL,BAL,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1204,POPU,TRI,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1205,POPU,DEL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1205,POPU,DEL,DEL,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1214,POPU,AGU,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,6,1303,BETU,PAP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,6,1303,BETU,PAP,PAP,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,100,PICE,SPP,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,9,101,PICE,MAR,,-1.3958370000,-0.0006433000,-0.0796023000,-1.2560140000,-0.0009974000,-0.0741330000,-0.8679180000,-0.0026773000,-0.1059732000,81
AB,9,104,PICE,ENG,,-5.3934170000,-0.0038701000,0.7974470000,-1.2694960000,-0.0005086000,0.0017527000,-0.6523576000,0.0005127000,-0.2334827000,5
