Iteration;Period;Output;Value;Type
"1";"1";OSUPREC;226.72070;Total
"1";"1";OVOLREC;40558.91860;Total
"1";"1";OSUPPL;201.64000;Total
"1";"1";VOLINVENT;268806.00837;Total
"6";"1";OSUPREC;226.72070;Total
"6";"1";OVOLREC;40558.91860;Total
"6";"1";OSUPPL;201.64000;Total
"6";"1";VOLINVENT;268806.00837;Total
"1";"2";OSUPREC;204.62017;Total
"1";"2";OVOLREC;40864.43114;Total
"1";"2";OSUPPL;201.64000;Total
"1";"2";VOLINVENT;249596.02594;Total
"6";"2";OSUPREC;204.62017;Total
"6";"2";OVOLREC;40864.43114;Total
"6";"2";OSUPPL;201.64000;Total
"6";"2";VOLINVENT;249596.02594;Total
"1";"3";OSUPREC;282.23542;Total
"1";"3";OVOLREC;40518.12953;Total
"1";"3";OSUPPL;201.64000;Total
"1";"3";VOLINVENT;233554.69930;Total
"6";"3";OSUPREC;282.23542;Total
"6";"3";OVOLREC;40518.12953;Total
"6";"3";OSUPPL;201.64000;Total
"6";"3";VOLINVENT;233554.69930;Total
"1";"4";OSUPREC;276.44100;Total
"1";"4";OVOLREC;40165.19940;Total
"1";"4";OSUPPL;201.64000;Total
"1";"4";VOLINVENT;216194.63276;Total
"6";"4";OSUPREC;276.44100;Total
"6";"4";OVOLREC;40165.19940;Total
"6";"4";OSUPPL;201.64000;Total
"6";"4";VOLINVENT;216194.63276;Total
"6";"5";OSUPREC;203.12198;Total
"6";"5";OVOLREC;39631.01491;Total
"6";"5";OSUPPL;201.64000;Total
"6";"5";VOLINVENT;200593.41047;Total
"1";"5";OSUPREC;203.12198;Total
"1";"5";OVOLREC;39631.01491;Total
"1";"5";OSUPPL;201.64000;Total
"1";"5";VOLINVENT;200593.41047;Total
"6";"6";OSUPREC;301.02560;Total
"6";"6";OVOLREC;39019.14859;Total
"6";"6";OSUPPL;0.00000;Total
"6";"6";VOLINVENT;186347.10353;Total
"1";"6";OSUPREC;301.02560;Total
"1";"6";OVOLREC;39019.14859;Total
"1";"6";OSUPPL;0.00000;Total
"1";"6";VOLINVENT;186347.10353;Total
"6";"7";OSUPREC;302.40622;Total
"6";"7";OVOLREC;38503.45254;Total
"6";"7";OSUPPL;100.76622;Total
"6";"7";VOLINVENT;176214.27494;Total
"1";"7";OSUPREC;302.40622;Total
"1";"7";OVOLREC;38503.45254;Total
"1";"7";OSUPPL;100.76622;Total
"1";"7";VOLINVENT;176214.27494;Total
"6";"8";OSUPREC;316.33507;Total
"6";"8";OVOLREC;38291.17605;Total
"6";"8";OSUPPL;100.87378;Total
"6";"8";VOLINVENT;169257.43752;Total
"1";"8";OSUPREC;316.33507;Total
"1";"8";OVOLREC;38291.17605;Total
"1";"8";OSUPPL;100.87378;Total
