Iteration;Period;Output;Value;Type
"1";"16";VOLINVENT;121416.93674;Total
"6";"17";OSUPREC;304.89531;Total
"6";"17";OVOLREC;36592.48942;Total
"6";"17";OSUPPL;0.00000;Total
"6";"17";VOLINVENT;118383.02366;Total
"1";"17";OSUPREC;304.89531;Total
"1";"17";OVOLREC;36592.48942;Total
"1";"17";OSUPPL;0.00000;Total
"1";"17";VOLINVENT;118383.02366;Total
"6";"18";OSUPREC;344.73216;Total
"6";"18";OVOLREC;36489.61638;Total
"6";"18";OSUPPL;0.00000;Total
"6";"18";VOLINVENT;116866.97604;Total
"1";"18";OSUPREC;344.73216;Total
"1";"18";OVOLREC;36489.61638;Total
"1";"18";OSUPPL;0.00000;Total
"1";"18";VOLINVENT;116866.97604;Total
"6";"19";OSUPREC;358.41795;Total
"6";"19";OVOLREC;36469.45384;Total
"6";"19";OSUPPL;0.00000;Total
"6";"19";VOLINVENT;115684.92042;Total
"1";"19";OSUPREC;358.41795;Total
"1";"19";OVOLREC;36469.45384;Total
"1";"19";OSUPPL;0.00000;Total
"1";"19";VOLINVENT;115684.92042;Total
"6";"20";OSUPREC;360.35839;Total
"6";"20";OVOLREC;36458.30856;Total
"6";"20";OSUPPL;0.00000;Total
"6";"20";VOLINVENT;114654.83312;Total
"1";"20";OSUPREC;360.35839;Total
"1";"20";OVOLREC;36458.30856;Total
"1";"20";OSUPPL;0.00000;Total
"1";"20";VOLINVENT;114654.83312;Total
"7";"1";OSUPREC;230.60871;Total
"7";"1";OVOLREC;41219.88007;Total
"7";"1";OSUPPL;201.64000;Total
"7";"1";VOLINVENT;268183.92699;Total
"2";"1";OSUPREC;230.60871;Total
"2";"1";OVOLREC;41219.88007;Total
"2";"1";OSUPPL;201.64000;Total
"2";"1";VOLINVENT;268183.92699;Total
"7";"2";OSUPREC;204.51980;Total
"7";"2";OVOLREC;40846.36373;Total
"7";"2";OSUPPL;201.64000;Total
"7";"2";VOLINVENT;249029.88831;Total
"2";"2";OSUPREC;204.51980;Total
"2";"2";OVOLREC;40846.36373;Total
"2";"2";OSUPPL;201.64000;Total
"2";"2";VOLINVENT;249029.88831;Total
"7";"3";OSUPREC;282.14312;Total
"7";"3";OVOLREC;40500.59206;Total
"7";"3";OSUPPL;201.64000;Total
"7";"3";VOLINVENT;233043.05245;Total
"2";"3";OSUPREC;282.14312;Total
"2";"3";OVOLREC;40500.59206;Total
"2";"3";OSUPPL;201.64000;Total
"2";"3";VOLINVENT;233043.05245;Total
"7";"4";OSUPREC;276.35245;Total
"7";"4";OVOLREC;40147.48943;Total
"7";"4";OSUPPL;201.64000;Total
"7";"4";VOLINVENT;215736.76370;Total
"2";"4";OSUPREC;276.35245;Total
"2";"4";OVOLREC;40147.48943;Total
"2";"4";OSUPPL;201.64000;Total
"2";"4";VOLINVENT;215736.76370;Total
"7";"5";OSUPREC;203.03508;Total
"7";"5";OVOLREC;39612.76595;Total
"7";"5";OSUPPL;201.64000;Total
"7";"5";VOLINVENT;200188.98919;Total
"2";"5";OSUPREC;203.03508;Total
"2";"5";OVOLREC;39612.76595;Total
"2";"5";OSUPPL;201.64000;Total
"2";"5";VOLINVENT;200188.98919;Total
"2";"6";OSUPREC;303.05703;Total
"2";"6";OVOLREC;38999.50269;Total
"2";"6";OSUPPL;0.00000;Total
"2";"6";VOLINVENT;185978.96121;Total
"7";"6";OSUPREC;303.05703;Total
"7";"6";OVOLREC;38999.50269;Total
"7";"6";OSUPPL;0.00000;Total
"7";"6";VOLINVENT;185978.96121;Total
"2";"7";OSUPREC;302.33370;Total
"2";"7";OVOLREC;38490.25387;Total
"2";"7";OSUPPL;100.69370;Total
"2";"7";VOLINVENT;175874.35735;Total
"7";"7";OSUPREC;302.33370;Total
"7";"7";OVOLREC;38490.25387;Total
"7";"7";OSUPPL;100.69370;Total
"7";"7";VOLINVENT;175874.35735;Total
"2";"8";OSUPREC;316.15517;Total
"2";"8";OVOLREC;38277.97280;Total
"2";"8";OSUPPL;100.94630;Total
"2";"8";VOLINVENT;168946.75886;Total
"7";"8";OSUPREC;316.15517;Total
"7";"8";OVOLREC;38277.97280;Total
"7";"8";OSUPPL;100.94630;Total
"7";"8";VOLINVENT;168946.75886;Total
"2";"9";OSUPREC;273.56089;Total
"2";"9";OVOLREC;38144.22365;Total
"2";"9";OSUPPL;0.00000;Total
"2";"9";VOLINVENT;162124.99399;Total
"7";"9";OSUPREC;273.56089;Total
"7";"9";OVOLREC;38144.22365;Total
"7";"9";OSUPPL;0.00000;Total
"7";"9";VOLINVENT;162124.99399;Total
"2";"10";OSUPREC;269.15219;Total
"2";"10";OVOLREC;37717.16835;Total
"2";"10";OSUPPL;0.00000;Total
"2";"10";VOLINVENT;151955.37552;Total
"7";"10";OSUPREC;269.15219;Total
"7";"10";OVOLREC;37717.16835;Total
"7";"10";OSUPPL;0.00000;Total
"7";"10";VOLINVENT;151955.37552;Total
"2";"11";OSUPREC;357.25238;Total
"2";"11";OVOLREC;37219.48697;Total
"2";"11";OSUPPL;0.00000;Total
"2";"11";VOLINVENT;142825.39188;Total
"7";"11";OSUPREC;357.25238;Total
