Iteration;Period;Output;Value;Type
"6";"7";VOLINVENT;194883.87030;Total
"1";"8";OSUPREC;287.35940;Total
"1";"8";OVOLREC;39207.46463;Total
"1";"8";OSUPPL;83.77219;Total
"1";"8";VOLINVENT;187170.94941;Total
"6";"8";OSUPREC;287.35940;Total
"6";"8";OVOLREC;39207.46463;Total
"6";"8";OSUPPL;83.77219;Total
"6";"8";VOLINVENT;187170.94941;Total
"1";"9";OSUPREC;269.99992;Total
"1";"9";OVOLREC;38954.92636;Total
"1";"9";OSUPPL;51.19042;Total
"1";"9";VOLINVENT;180831.76837;Total
"6";"9";OSUPREC;269.99992;Total
"6";"9";OVOLREC;38954.92636;Total
"6";"9";OSUPPL;51.19042;Total
"6";"9";VOLINVENT;180831.76837;Total
"1";"10";OSUPREC;271.73367;Total
"1";"10";OVOLREC;38681.26027;Total
"1";"10";OSUPPL;0.00000;Total
"1";"10";VOLINVENT;175485.49673;Total
"6";"10";OSUPREC;271.73367;Total
"6";"10";OVOLREC;38681.26027;Total
"6";"10";OSUPPL;0.00000;Total
"6";"10";VOLINVENT;175485.49673;Total
"1";"11";OSUPREC;359.92087;Total
"1";"11";OVOLREC;38427.60002;Total
"1";"11";OSUPPL;0.00000;Total
"1";"11";VOLINVENT;170536.15086;Total
"6";"11";OSUPREC;359.92087;Total
"6";"11";OVOLREC;38427.60002;Total
"6";"11";OSUPPL;0.00000;Total
"6";"11";VOLINVENT;170536.15086;Total
"1";"12";OSUPREC;357.92754;Total
"1";"12";OVOLREC;38290.43206;Total
"1";"12";OSUPPL;0.00000;Total
"1";"12";VOLINVENT;165862.73283;Total
"6";"12";OSUPREC;357.92754;Total
"6";"12";OVOLREC;38290.43206;Total
"6";"12";OSUPPL;0.00000;Total
"6";"12";VOLINVENT;165862.73283;Total
"1";"13";OSUPREC;319.84148;Total
"1";"13";OVOLREC;38155.74147;Total
"1";"13";OSUPPL;0.00000;Total
"1";"13";VOLINVENT;161648.82612;Total
"6";"13";OSUPREC;319.84148;Total
"6";"13";OVOLREC;38155.74147;Total
"6";"13";OSUPPL;0.00000;Total
"6";"13";VOLINVENT;161648.82612;Total
"1";"14";OSUPREC;306.61222;Total
"1";"14";OVOLREC;37983.68029;Total
"1";"14";OSUPPL;0.00000;Total
"1";"14";VOLINVENT;157973.10351;Total
"6";"14";OSUPREC;306.61222;Total
"6";"14";OVOLREC;37983.68029;Total
"6";"14";OSUPPL;0.00000;Total
"6";"14";VOLINVENT;157973.10351;Total
"1";"15";OSUPREC;306.02476;Total
"1";"15";OVOLREC;37803.60563;Total
"1";"15";OSUPPL;0.00000;Total
"1";"15";VOLINVENT;154820.36648;Total
"6";"15";OSUPREC;306.02476;Total
"6";"15";OVOLREC;37803.60563;Total
"6";"15";OSUPPL;0.00000;Total
"6";"15";VOLINVENT;154820.36648;Total
"1";"16";OSUPREC;365.05124;Total
"1";"16";OVOLREC;37633.80507;Total
"1";"16";OSUPPL;0.00000;Total
"1";"16";VOLINVENT;151888.73372;Total
"6";"16";OSUPREC;365.05124;Total
"6";"16";OVOLREC;37633.80507;Total
"6";"16";OSUPPL;0.00000;Total
"6";"16";VOLINVENT;151888.73372;Total
"1";"17";OSUPREC;363.23594;Total
"1";"17";OVOLREC;37544.52575;Total
"1";"17";OSUPPL;0.00000;Total
"1";"17";VOLINVENT;149099.46427;Total
"6";"17";OSUPREC;363.23594;Total
"6";"17";OVOLREC;37544.52575;Total
"6";"17";OSUPPL;0.00000;Total
"6";"17";VOLINVENT;149099.46427;Total
"1";"18";OSUPREC;335.94523;Total
"1";"18";OVOLREC;37459.42366;Total
"1";"18";OSUPPL;0.00000;Total
"1";"18";VOLINVENT;146556.33444;Total
"6";"18";OSUPREC;335.94523;Total
"6";"18";OVOLREC;37459.42366;Total
"6";"18";OSUPPL;0.00000;Total
"6";"18";VOLINVENT;146556.33444;Total
"1";"19";OSUPREC;252.08471;Total
"1";"19";OVOLREC;37349.70232;Total
"1";"19";OSUPPL;0.00000;Total
"1";"19";VOLINVENT;142684.39401;Total
"6";"19";OSUPREC;252.08471;Total
"6";"19";OVOLREC;37349.70232;Total
"6";"19";OSUPPL;0.00000;Total
"6";"19";VOLINVENT;142684.39401;Total
"1";"20";OSUPREC;271.02335;Total
"1";"20";OVOLREC;37234.73522;Total
"1";"20";OSUPPL;0.00000;Total
"1";"20";VOLINVENT;139866.35191;Total
"6";"20";OSUPREC;271.02335;Total
"6";"20";OVOLREC;37234.73522;Total
"6";"20";OSUPPL;0.00000;Total
"6";"20";VOLINVENT;139866.35191;Total
"2";"2";OSUPREC;300.63530;Total
"2";"2";OVOLREC;40971.26069;Total
"2";"2";OSUPPL;300.63530;Total
"2";"2";VOLINVENT;251524.00029;Total
"7";"2";OSUPREC;300.63530;Total
"7";"2";OVOLREC;40971.26069;Total
"7";"2";OSUPPL;300.63530;Total
"7";"2";VOLINVENT;251524.00029;Total
"2";"3";OSUPREC;203.58721;Total
"2";"3";OVOLREC;40729.12486;Total
"2";"3";OSUPPL;203.58721;Total
"2";"3";VOLINVENT;236115.65400;Total
"7";"3";OSUPREC;203.58721;Total
"7";"3";OVOLREC;40729.12486;Total
"7";"3";OSUPPL;203.58721;Total
"7";"3";VOLINVENT;236115.65400;Total
"2";"4";OSUPREC;181.41194;Total
"2";"4";OVOLREC;40386.68973;Total
"2";"4";OSUPPL;181.41194;Total
"2";"4";VOLINVENT;223589.50999;Total
"7";"4";OSUPREC;181.41194;Total
"7";"4";OVOLREC;40386.68973;Total
"7";"4";OSUPPL;181.41194;Total
"7";"4";VOLINVENT;223589.50999;Total
"2";"5";OSUPREC;198.10848;Total
"2";"5";OVOLREC;39961.86737;Total
"2";"5";OSUPPL;198.10848;Total
"2";"5";VOLINVENT;212978.35640;Total
"7";"5";OSUPREC;198.10848;Total
"7";"5";OVOLREC;39961.86737;Total
"7";"5";OSUPPL;198.10848;Total
"7";"5";VOLINVENT;212978.35640;Total
"2";"6";OSUPREC;345.58539;Total
"2";"6";OVOLREC;39575.27331;Total
"2";"6";OSUPPL;49.38086;Total
"2";"6";VOLINVENT;203370.86157;Total
"7";"6";OSUPREC;345.58539;Total
"7";"6";OVOLREC;39575.27331;Total
"7";"6";OSUPPL;49.38086;Total
"7";"6";VOLINVENT;203370.86157;Total
"2";"7";OSUPREC;344.05155;Total
"2";"7";OVOLREC;39392.53180;Total
"2";"7";OSUPPL;43.41625;Total
"2";"7";VOLINVENT;194883.87030;Total
"7";"7";OSUPREC;344.05155;Total
"7";"7";OVOLREC;39392.53180;Total
"7";"7";OSUPPL;43.41625;Total
"7";"7";VOLINVENT;194883.87030;Total
"2";"8";OSUPREC;287.35940;Total
"2";"8";OVOLREC;39207.46463;Total
"2";"8";OSUPPL;83.77219;Total
"2";"8";VOLINVENT;187170.94941;Total
"7";"8";OSUPREC;287.35940;Total
"7";"8";OVOLREC;39207.46463;Total
"7";"8";OSUPPL;83.77219;Total
"7";"8";VOLINVENT;187170.94941;Total
"2";"9";OSUPREC;269.99992;Total
"2";"9";OVOLREC;38954.92636;Total
"2";"9";OSUPPL;51.19042;Total
"2";"9";VOLINVENT;180831.76837;Total
"7";"9";OSUPREC;269.99992;Total
"7";"9";OVOLREC;38954.92636;Total
"7";"9";OSUPPL;51.19042;Total
"7";"9";VOLINVENT;180831.76837;Total
"2";"10";OSUPREC;271.73367;Total
"2";"10";OVOLREC;38681.26027;Total
"2";"10";OSUPPL;0.00000;Total
"2";"10";VOLINVENT;175485.49673;Total
"7";"10";OSUPREC;271.73367;Total
"7";"10";OVOLREC;38681.26027;Total
"7";"10";OSUPPL;0.00000;Total
"7";"10";VOLINVENT;175485.49673;Total
"2";"11";OSUPREC;359.92087;Total
"2";"11";OVOLREC;38427.60002;Total
"2";"11";OSUPPL;0.00000;Total
"2";"11";VOLINVENT;170536.15086;Total
"7";"11";OSUPREC;359.92087;Total
"7";"11";OVOLREC;38427.60002;Total
"7";"11";OSUPPL;0.00000;Total
"7";"11";VOLINVENT;170536.15086;Total
"2";"12";OSUPREC;357.92754;Total
"2";"12";OVOLREC;38290.43206;Total
"2";"12";OSUPPL;0.00000;Total
"2";"12";VOLINVENT;165862.73283;Total
"7";"12";OSUPREC;357.92754;Total
"7";"12";OVOLREC;38290.43206;Total
"7";"12";OSUPPL;0.00000;Total
"7";"12";VOLINVENT;165862.73283;Total
"2";"13";OSUPREC;319.84148;Total
"2";"13";OVOLREC;38155.74147;Total
"2";"13";OSUPPL;0.00000;Total
"2";"13";VOLINVENT;161648.82612;Total
"7";"13";OSUPREC;319.84148;Total
"7";"13";OVOLREC;38155.74147;Total
"7";"13";OSUPPL;0.00000;Total
"7";"13";VOLINVENT;161648.82612;Total
"2";"14";OSUPREC;306.61222;Total
"2";"14";OVOLREC;37983.68029;Total
"2";"14";OSUPPL;0.00000;Total
"2";"14";VOLINVENT;157973.10351;Total
"7";"14";OSUPREC;306.61222;Total
"7";"14";OVOLREC;37983.68029;Total
"7";"14";OSUPPL;0.00000;Total
"7";"14";VOLINVENT;157973.10351;Total
"2";"15";OSUPREC;306.02476;Total
"2";"15";OVOLREC;37803.60563;Total
"2";"15";OSUPPL;0.00000;Total
"2";"15";VOLINVENT;154820.36648;Total
"7";"15";OSUPREC;306.02476;Total
"7";"15";OVOLREC;37803.60563;Total
"7";"15";OSUPPL;0.00000;Total
"7";"15";VOLINVENT;154820.36648;Total
"2";"16";OSUPREC;365.05124;Total
"2";"16";OVOLREC;37633.80507;Total
"2";"16";OSUPPL;0.00000;Total
"2";"16";VOLINVENT;151888.73372;Total
"7";"16";OSUPREC;365.05124;Total
"7";"16";OVOLREC;37633.80507;Total
"7";"16";OSUPPL;0.00000;Total
"7";"16";VOLINVENT;151888.73372;Total
"2";"17";OSUPREC;363.23594;Total
"2";"17";OVOLREC;37544.52575;Total
"2";"17";OSUPPL;0.00000;Total
"2";"17";VOLINVENT;149099.46427;Total
"7";"17";OSUPREC;363.23594;Total
"7";"17";OVOLREC;37544.52575;Total
"7";"17";OSUPPL;0.00000;Total
"7";"17";VOLINVENT;149099.46427;Total
"2";"18";OSUPREC;335.94523;Total
"2";"18";OVOLREC;37459.42366;Total
"2";"18";OSUPPL;0.00000;Total
"2";"18";VOLINVENT;146556.33444;Total
"7";"18";OSUPREC;335.94523;Total
"7";"18";OVOLREC;37459.42366;Total
"7";"18";OSUPPL;0.00000;Total
"7";"18";VOLINVENT;146556.33444;Total
"2";"19";OSUPREC;252.08471;Total
"2";"19";OVOLREC;37349.70232;Total
"2";"19";OSUPPL;0.00000;Total
"2";"19";VOLINVENT;142684.39401;Total
"7";"19";OSUPREC;252.08471;Total
"7";"19";OVOLREC;37349.70232;Total
"7";"19";OSUPPL;0.00000;Total
"7";"19";VOLINVENT;142684.39401;Total
"2";"20";OSUPREC;271.02335;Total
"2";"20";OVOLREC;37234.73522;Total
"2";"20";OSUPPL;0.00000;Total
"2";"20";VOLINVENT;139866.35191;Total
"7";"20";OSUPREC;271.02335;Total
"7";"20";OVOLREC;37234.73522;Total
"7";"20";OSUPPL;0.00000;Total
"7";"20";VOLINVENT;139866.35191;Total
"3";"2";OSUPREC;300.63530;Total
"3";"2";OVOLREC;40971.26069;Total
"3";"2";OSUPPL;300.63530;Total
"3";"2";VOLINVENT;251524.00029;Total
"8";"2";OSUPREC;300.63530;Total
"8";"2";OVOLREC;40971.26069;Total
"8";"2";OSUPPL;300.63530;Total
"8";"2";VOLINVENT;251524.00029;Total
"3";"3";OSUPREC;203.58721;Total
"3";"3";OVOLREC;40729.12486;Total
"3";"3";OSUPPL;203.58721;Total
"3";"3";VOLINVENT;236115.65400;Total
"8";"3";OSUPREC;203.58721;Total
"8";"3";OVOLREC;40729.12486;Total
"8";"3";OSUPPL;203.58721;Total
"8";"3";VOLINVENT;236115.65400;Total
"3";"4";OSUPREC;181.41194;Total
"3";"4";OVOLREC;40386.68973;Total
"3";"4";OSUPPL;181.41194;Total
"3";"4";VOLINVENT;223589.50999;Total
"8";"4";OSUPREC;181.41194;Total
"8";"4";OVOLREC;40386.68973;Total
"8";"4";OSUPPL;181.41194;Total
"8";"4";VOLINVENT;223589.50999;Total
"3";"5";OSUPREC;198.10848;Total
"3";"5";OVOLREC;39961.86737;Total
"3";"5";OSUPPL;198.10848;Total
"3";"5";VOLINVENT;212978.35640;Total
"8";"5";OSUPREC;198.10848;Total
"8";"5";OVOLREC;39961.86737;Total
"8";"5";OSUPPL;198.10848;Total
"8";"5";VOLINVENT;212978.35640;Total
"3";"6";OSUPREC;345.58539;Total
"3";"6";OVOLREC;39575.27331;Total
"3";"6";OSUPPL;49.38086;Total
"3";"6";VOLINVENT;203370.86157;Total
"8";"6";OSUPREC;345.58539;Total
"8";"6";OVOLREC;39575.27331;Total
"8";"6";OSUPPL;49.38086;Total
"8";"6";VOLINVENT;203370.86157;Total
"3";"7";OSUPREC;344.05155;Total
"3";"7";OVOLREC;39392.53180;Total
"3";"7";OSUPPL;43.41625;Total
"3";"7";VOLINVENT;194883.87030;Total
"8";"7";OSUPREC;344.05155;Total
"8";"7";OVOLREC;39392.53180;Total
"8";"7";OSUPPL;43.41625;Total
"8";"7";VOLINVENT;194883.87030;Total
"3";"8";OSUPREC;287.35940;Total
"3";"8";OVOLREC;39207.46463;Total
"3";"8";OSUPPL;83.77219;Total
"3";"8";VOLINVENT;187170.94941;Total
"8";"8";OSUPREC;287.35940;Total
"8";"8";OVOLREC;39207.46463;Total
"8";"8";OSUPPL;83.77219;Total
"8";"8";VOLINVENT;187170.94941;Total
"3";"9";OSUPREC;269.99992;Total
"3";"9";OVOLREC;38954.92636;Total
"3";"9";OSUPPL;51.19042;Total
"3";"9";VOLINVENT;180831.76837;Total
"8";"9";OSUPREC;269.99992;Total
"8";"9";OVOLREC;38954.92636;Total
