Iteration;Period;Output;Value;Type
"6";"19";OSUPREC;0.00000;Total
"6";"19";OVOLREC;0.00000;Total
"6";"19";OSUPPL;0.00000;Total
"6";"19";VOLINVENT;177027.59994;Total
"1";"20";OSUPREC;0.00000;Total
"1";"20";OVOLREC;0.00000;Total
"1";"20";OSUPPL;0.00000;Total
"1";"20";VOLINVENT;173985.55763;Total
"6";"20";OSUPREC;0.00000;Total
"6";"20";OVOLREC;0.00000;Total
"6";"20";OSUPPL;0.00000;Total
"6";"20";VOLINVENT;173985.55763;Total
"2";"1";OSUPREC;0.00000;Total
"2";"1";OVOLREC;0.00000;Total
"2";"1";OSUPPL;0.00000;Total
"2";"1";VOLINVENT;307097.72000;Total
"7";"1";OSUPREC;0.00000;Total
"7";"1";OVOLREC;0.00000;Total
"7";"1";OSUPPL;0.00000;Total
"7";"1";VOLINVENT;307097.72000;Total
"2";"2";OSUPREC;0.00000;Total
"2";"2";OVOLREC;0.00000;Total
"2";"2";OSUPPL;0.00000;Total
"2";"2";VOLINVENT;289092.92673;Total
"7";"2";OSUPREC;0.00000;Total
"7";"2";OVOLREC;0.00000;Total
"7";"2";OSUPPL;0.00000;Total
"7";"2";VOLINVENT;289092.92673;Total
"2";"3";OSUPREC;0.00000;Total
"2";"3";OVOLREC;0.00000;Total
"2";"3";OSUPPL;0.00000;Total
"2";"3";VOLINVENT;273994.55794;Total
"7";"3";OSUPREC;0.00000;Total
"7";"3";OVOLREC;0.00000;Total
"7";"3";OSUPPL;0.00000;Total
"7";"3";VOLINVENT;273994.55794;Total
"2";"4";OSUPREC;0.00000;Total
"2";"4";OVOLREC;0.00000;Total
"2";"4";OSUPPL;0.00000;Total
"2";"4";VOLINVENT;259080.77219;Total
"7";"4";OSUPREC;0.00000;Total
"7";"4";OVOLREC;0.00000;Total
"7";"4";OSUPPL;0.00000;Total
"7";"4";VOLINVENT;259080.77219;Total
"2";"5";OSUPREC;0.00000;Total
"2";"5";OVOLREC;0.00000;Total
"2";"5";OSUPPL;0.00000;Total
"2";"5";VOLINVENT;249632.14944;Total
"7";"5";OSUPREC;0.00000;Total
"7";"5";OVOLREC;0.00000;Total
"7";"5";OSUPPL;0.00000;Total
"7";"5";VOLINVENT;249632.14944;Total
"2";"6";OSUPREC;0.00000;Total
"2";"6";OVOLREC;0.00000;Total
"2";"6";OSUPPL;0.00000;Total
"2";"6";VOLINVENT;238851.21079;Total
"7";"6";OSUPREC;0.00000;Total
"7";"6";OVOLREC;0.00000;Total
"7";"6";OSUPPL;0.00000;Total
"7";"6";VOLINVENT;238851.21079;Total
"2";"7";OSUPREC;0.00000;Total
"2";"7";OVOLREC;0.00000;Total
"2";"7";OSUPPL;0.00000;Total
"2";"7";VOLINVENT;230828.56392;Total
"7";"7";OSUPREC;0.00000;Total
"7";"7";OVOLREC;0.00000;Total
"7";"7";OSUPPL;0.00000;Total
"7";"7";VOLINVENT;230828.56392;Total
"2";"8";OSUPREC;0.00000;Total
"2";"8";OVOLREC;0.00000;Total
"2";"8";OSUPPL;0.00000;Total
"2";"8";VOLINVENT;223085.95904;Total
"7";"8";OSUPREC;0.00000;Total
"7";"8";OVOLREC;0.00000;Total
"7";"8";OSUPPL;0.00000;Total
"7";"8";VOLINVENT;223085.95904;Total
"2";"9";OSUPREC;0.00000;Total
"2";"9";OVOLREC;0.00000;Total
"2";"9";OSUPPL;0.00000;Total
"2";"9";VOLINVENT;216830.74340;Total
"7";"9";OSUPREC;0.00000;Total
"7";"9";OVOLREC;0.00000;Total
"7";"9";OSUPPL;0.00000;Total
"7";"9";VOLINVENT;216830.74340;Total
"2";"10";OSUPREC;0.00000;Total
"2";"10";OVOLREC;0.00000;Total
"2";"10";OSUPPL;0.00000;Total
"2";"10";VOLINVENT;211449.42031;Total
"7";"10";OSUPREC;0.00000;Total
"7";"10";OVOLREC;0.00000;Total
"7";"10";OSUPPL;0.00000;Total
"7";"10";VOLINVENT;211449.42031;Total
"2";"11";OSUPREC;0.00000;Total
"2";"11";OVOLREC;0.00000;Total
"2";"11";OSUPPL;0.00000;Total
"2";"11";VOLINVENT;205364.54222;Total
"7";"11";OSUPREC;0.00000;Total
"7";"11";OVOLREC;0.00000;Total
"7";"11";OSUPPL;0.00000;Total
"7";"11";VOLINVENT;205364.54222;Total
"2";"12";OSUPREC;0.00000;Total
"2";"12";OVOLREC;0.00000;Total
"2";"12";OSUPPL;0.00000;Total
"2";"12";VOLINVENT;200573.88947;Total
"7";"12";OSUPREC;0.00000;Total
"7";"12";OVOLREC;0.00000;Total
"7";"12";OSUPPL;0.00000;Total
"7";"12";VOLINVENT;200573.88947;Total
"2";"13";OSUPREC;0.00000;Total
