,s1_distance,s1_disturbance,s2_distance,s2_disturbance,s3_distance,s3_disturbance,age,YV_G_GFI,YV_G_GFT,YV_G_GR,YV_G_GF
Mean,15.105554495942828,4.3457759110532175,16.917442140629635,9.71005627266051,9.628853528528447,14.035089451784069,16.413967408600275,12.645459262195281,10.7123206958007,49.87740667832623,23.35777995799598
Var,215.62906054531385,19.932304879949765,303.81311836900704,42.43038343468905,272.12981640300177,28.014867875085333,231.2553912301389,671.5873691232506,1420.9135035016432,3444.111062475353,2330.4078344898667
