,s1_distance,s1_disturbance,s2_distance,s2_disturbance,s3_distance,s3_disturbance,source_age,source_YV_G_GFI,source_YV_G_GFT,source_YV_G_GR,source_YV_G_GF,target_distance,target_disturbance,target_age,target_YV_G_GFI,target_YV_G_GFT,target_YV_G_GR,target_YV_G_GF
Mean,15.132340372435221,4.421546293931306,16.385826714110284,9.891790262738622,8.85444758648086,14.149844371306362,16.400819018612196,12.70031958128263,10.782003992431099,49.85089694317625,23.482323573713728,0.9397150946976173,15.18345518886969,16.44149026056427,12.601491560665446,10.669812342393403,49.95229512181844,23.27130390305882
Var,213.33789064373636,20.122924782577737,307.9365530387737,42.3656904378346,266.97433983728246,27.23098419588099,229.6579242468786,681.9763599252703,1429.8156176993907,3402.9172471647307,2352.394116554074,0.05665063549506532,11.003754175656718,232.86825448430255,662.7384488716126,1415.8383302269096,3489.765467601669,2314.1964696673285
