,s1_distance,s1_disturbance,s2_distance,s2_disturbance,s3_distance,s3_disturbance,age,YV_G_GFI,YV_G_GFT,YV_G_GR,YV_G_GF
Mean,14.28770432403753,4.1711756889679625,15.475973263230413,9.661494969810423,9.34497512943863,14.118236494309098,14.747842467419087,20.72815977833807,10.984622455395227,56.50424962332264,31.712782233733265
Var,169.36649869388188,20.19903344535826,232.25678183474466,44.359953361346896,250.08310497516473,27.45504091954723,169.0684423152465,943.8532828394439,1195.989930955183,4379.653554517043,2315.3834300975627
