,s1_distance,s1_disturbance,s2_distance,s2_disturbance,s3_distance,s3_disturbance,source_age,source_YV_G_GFI,source_YV_G_GFT,source_YV_G_GR,source_YV_G_GF,target_distance,target_disturbance,target_age,target_YV_G_GFI,target_YV_G_GFT,target_YV_G_GR,target_YV_G_GF
Mean,12.64332007920282,5.3184420225695845,13.979331605466927,9.471166631787376,10.770685297574012,13.097264926994962,16.359848033612906,28.581570453484446,82.28073325146894,41.6434435357942,110.8623037049534,0.9167549381026739,15.042000032196269,16.38996281330994,28.320814501199315,81.56173278410793,42.03330151805406,109.88254728530725
Var,150.36639008462566,9.696049563240623,172.07178099853923,32.52438877886307,238.30874704883993,28.57645688615554,123.08271821770214,1200.9229097558618,5689.456996358926,4878.137191323857,5717.3241995783355,0.07631532156703649,10.5938090103833,127.51181123028537,1148.3990977676638,5672.176675969019,5038.579026187341,5670.81464933467
