Iteration;Period;Output;Value;Type
"0";"1";OSUPREC;117.64706;Total
"0";"2";OSUPREC;143.05675;Total
"0";"3";OSUPREC;103.17851;Total
"0";"4";OSUPREC;101.80477;Total
"0";"5";OSUPREC;112.07155;Total
"0";"6";OSUPREC;118.75450;Total
"0";"7";OSUPREC;86.95652;Total
"0";"8";OSUPREC;105.17027;Total
"0";"9";OSUPREC;89.28571;Total
"0";"10";OSUPREC;109.34054;Total
"0";"11";OSUPREC;183.76711;Total
"0";"12";OSUPREC;170.50218;Total
"0";"13";OSUPREC;68.96552;Total
"0";"14";OSUPREC;88.88889;Total
"0";"15";OSUPREC;64.51613;Total
"0";"16";OSUPREC;111.72573;Total
"0";"17";OSUPREC;125.43806;Total
"0";"18";OSUPREC;79.03527;Total
"0";"19";OSUPREC;178.06122;Total
"0";"20";OSUPREC;83.33333;Total
"0";"1";OVOLREC;20000.00000;Total
"0";"2";OVOLREC;20000.00000;Total
"0";"3";OVOLREC;20000.00000;Total
"0";"4";OVOLREC;20000.00000;Total
"0";"5";OVOLREC;20000.00000;Total
"0";"6";OVOLREC;20000.00000;Total
"0";"7";OVOLREC;20000.00000;Total
"0";"8";OVOLREC;20000.00000;Total
"0";"9";OVOLREC;20000.00000;Total
"0";"10";OVOLREC;20000.00000;Total
"0";"11";OVOLREC;20000.00000;Total
"0";"12";OVOLREC;20000.00000;Total
"0";"13";OVOLREC;20000.00000;Total
"0";"14";OVOLREC;20000.00000;Total
"0";"15";OVOLREC;20000.00000;Total
"0";"16";OVOLREC;20000.00000;Total
"0";"17";OVOLREC;20000.00000;Total
"0";"18";OVOLREC;20000.00000;Total
"0";"19";OVOLREC;20000.00000;Total
"0";"20";OVOLREC;20000.00000;Total
"0";"1";OSUPPL;0.00000;Total
"0";"2";OSUPPL;0.00000;Total
"0";"3";OSUPPL;62.70197;Total
"0";"4";OSUPPL;0.00000;Total
"0";"5";OSUPPL;104.65988;Total
"0";"6";OSUPPL;118.75450;Total
"0";"7";OSUPPL;-0.00000;Total
"0";"8";OSUPPL;0.00000;Total
"0";"9";OSUPPL;0.00000;Total
"0";"10";OSUPPL;-0.00000;Total
"0";"11";OSUPPL;0.00000;Total
"0";"12";OSUPPL;0.00000;Total
"0";"13";OSUPPL;0.00000;Total
"0";"14";OSUPPL;88.88889;Total
"0";"15";OSUPPL;0.00000;Total
"0";"16";OSUPPL;73.26621;Total
"0";"17";OSUPPL;72.75969;Total
"0";"18";OSUPPL;0.00000;Total
"0";"19";OSUPPL;176.24224;Total
"0";"20";OSUPPL;0.00000;Total
"0";"1";VOLINVENT;288274.19059;Total
"0";"2";VOLINVENT;286700.42495;Total
"0";"3";VOLINVENT;285400.30960;Total
"0";"4";VOLINVENT;280117.60873;Total
"0";"5";VOLINVENT;275356.98940;Total
"0";"6";VOLINVENT;270732.38978;Total
"0";"7";VOLINVENT;265740.33248;Total
"0";"8";VOLINVENT;257230.29053;Total
"0";"9";VOLINVENT;252072.25449;Total
"0";"10";VOLINVENT;245102.31331;Total
"0";"11";VOLINVENT;238279.75190;Total
"0";"12";VOLINVENT;232747.29221;Total
"0";"13";VOLINVENT;229512.12811;Total
"0";"14";VOLINVENT;227165.85290;Total
"0";"15";VOLINVENT;225669.22087;Total
"0";"16";VOLINVENT;223954.92144;Total
"0";"17";VOLINVENT;222409.17899;Total
"0";"18";VOLINVENT;220964.13411;Total
"0";"19";VOLINVENT;220410.81258;Total
"0";"20";VOLINVENT;220045.66310;Total
"1";"2";OSUPREC;100.65235;Total
"1";"2";OVOLREC;20000.00000;Total
"1";"2";OSUPPL;-0.00000;Total
"1";"2";VOLINVENT;286424.39611;Total
"6";"2";OSUPREC;100.65235;Total
"6";"2";OVOLREC;20000.00000;Total
"6";"2";OSUPPL;-0.00000;Total
"6";"2";VOLINVENT;286424.39611;Total
"1";"3";OSUPREC;100.24691;Total
"1";"3";OVOLREC;20000.00000;Total
"1";"3";OSUPPL;44.44444;Total
"1";"3";VOLINVENT;285733.97621;Total
"6";"3";OSUPREC;100.24691;Total
"6";"3";OVOLREC;20000.00000;Total
"6";"3";OSUPPL;44.44444;Total
"6";"3";VOLINVENT;285733.97621;Total
"1";"4";OSUPREC;130.19956;Total
"1";"4";OVOLREC;20000.00000;Total
"1";"4";OSUPPL;35.47672;Total
"1";"4";VOLINVENT;282547.21489;Total
"6";"4";OSUPREC;130.19956;Total
"6";"4";OVOLREC;20000.00000;Total
"6";"4";OSUPPL;35.47672;Total
"6";"4";VOLINVENT;282547.21489;Total
"6";"5";OSUPREC;121.30069;Total
"6";"5";OVOLREC;20000.00000;Total
"6";"5";OSUPPL;73.07270;Total
"6";"5";VOLINVENT;278903.64695;Total
"1";"5";OSUPREC;121.30069;Total
"1";"5";OVOLREC;20000.00000;Total
"1";"5";OSUPPL;73.07270;Total
"1";"5";VOLINVENT;278903.64695;Total
"1";"6";OSUPREC;123.71379;Total
"1";"6";OVOLREC;20000.00000;Total
"1";"6";OSUPPL;72.65353;Total
"1";"6";VOLINVENT;280201.83653;Total
"6";"6";OSUPREC;123.71379;Total
"6";"6";OVOLREC;20000.00000;Total
"6";"6";OSUPPL;72.65353;Total
"6";"6";VOLINVENT;280201.83653;Total
"1";"7";OSUPREC;101.66434;Total
"1";"7";OVOLREC;20000.00000;Total
"1";"7";OSUPPL;101.66434;Total
"1";"7";VOLINVENT;278740.33078;Total
"6";"7";OSUPREC;101.66434;Total
"6";"7";OVOLREC;20000.00000;Total
"6";"7";OSUPPL;101.66434;Total
"6";"7";VOLINVENT;278740.33078;Total
"1";"8";OSUPREC;104.10008;Total
"1";"8";OVOLREC;20000.00000;Total
"1";"8";OSUPPL;35.64972;Total
"1";"8";VOLINVENT;270911.59297;Total
"6";"8";OSUPREC;104.10008;Total
"6";"8";OVOLREC;20000.00000;Total
"6";"8";OSUPPL;35.64972;Total
"6";"8";VOLINVENT;270911.59297;Total
"1";"9";OSUPREC;91.14836;Total
"1";"9";OVOLREC;20000.00000;Total
"1";"9";OSUPPL;91.14836;Total
"1";"9";VOLINVENT;264906.99457;Total
"6";"9";OSUPREC;91.14836;Total
"6";"9";OVOLREC;20000.00000;Total
"6";"9";OSUPPL;91.14836;Total
"6";"9";VOLINVENT;264906.99457;Total
"6";"10";OSUPREC;86.95652;Total
"6";"10";OVOLREC;20000.00000;Total
"6";"10";OSUPPL;86.95652;Total
"6";"10";VOLINVENT;255762.62466;Total
"1";"10";OSUPREC;86.95652;Total
"1";"10";OVOLREC;20000.00000;Total
"1";"10";OSUPPL;86.95652;Total
"1";"10";VOLINVENT;255762.62466;Total
"1";"11";OSUPREC;109.07714;Total
"1";"11";OVOLREC;20000.00000;Total
